1	0	0	0	0	1	0	0	0	0	64	64	4.26697e+07	32	674710	20147085
2	0	0	0	0	2	0	0	0	0	32	32	1.09274e+07	32	149454	5938459
3	0	0	0	0	3	0	0	0	0	16	16	4.16241e+06	32	37177	2921399
4	0	1	1	0	3	0	0	0	0	16	8	2.97322e+06	32	20748	2280622
5	0	2	2	0	3	0	0	0	0	16	4	2.53403e+06	32	19384	1886965
6	0	3	3	0	3	0	0	0	0	8	4	1.68529e+06	32	11712	1294331
6	0	3	3	0	3	0	0	8	0	8	4	423945	32	7072	187873
6	0	4	3	0	3	0	0	0	0	4	4	963509	32	4230	822306
6	0	3	3	0	3	0	0	4	0	8	4	594318	32	6152	388957
6	0	4	3	0	3	0	0	12	0	4	4	167348	32	1144	129160
5	0	2	2	0	3	0	0	0	4	16	4	701808	32	13956	235939
6	0	3	3	0	3	0	0	0	4	8	4	584578	32	11379	204733
6	0	3	3	0	3	0	0	8	4	8	4	203253	32	2577	117230
5	0	2	2	0	3	0	0	0	0	8	8	1.89104e+06	32	11037	1522612
6	0	3	3	0	3	0	0	0	4	8	4	785672	32	17197	211615
6	0	3	3	0	3	0	0	0	0	4	8	1.26605e+06	32	5805	1072276
6	0	3	3	0	3	0	0	4	0	4	8	578074	32	8596	291129
5	0	2	2	0	3	0	0	8	0	8	8	382201	32	6845	153706
6	0	4	3	0	3	0	0	0	4	4	4	450396	32	7371	204343
5	0	2	2	0	3	0	0	4	0	8	8	678429	32	10947	313004
6	0	3	3	0	3	0	0	4	0	8	4	522247	32	6880	292584
6	0	3	3	0	3	0	0	4	4	8	4	327063	32	4283	184091
5	0	3	2	0	3	0	0	12	0	4	8	324784	32	5154	152737
4	0	1	1	0	3	0	0	0	8	16	8	1.59433e+06	32	21516	876102
5	0	2	2	0	3	0	0	0	8	16	4	843400	32	18308	232256
6	0	3	3	0	3	0	0	0	8	8	4	621267	32	12582	201264
6	0	3	3	0	3	0	0	8	8	8	4	309189	32	5726	118048
5	0	2	2	0	3	0	0	0	12	16	4	1.20545e+06	32	31108	167025
6	0	3	3	0	3	0	0	0	12	8	4	1.02217e+06	32	6621	801154
6	0	3	3	0	3	0	0	8	12	8	4	195135	32	2121	124333
5	0	2	2	0	3	0	0	0	8	8	8	1.19969e+06	32	17209	625229
6	0	3	3	0	3	0	0	0	12	8	4	1.02196e+06	32	6621	800940
6	0	3	3	0	3	0	0	0	8	4	8	590136	32	6142	385108
